ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,0.5169999599456787,118,LOCALLY_SOLVED,29.07262172131685,rwlav,100.0,rIVR,mumps,1.0e-5,0.06313586021265305,0.004351977690346212,120
1,1,0.5900001525878906,118,LOCALLY_SOLVED,23.384835182543668,rwlav,100.0,rIVR,mumps,1.0e-5,0.14772537744088954,0.0052417073763629165,118
1,1,0.5390000343322754,118,LOCALLY_SOLVED,22.65372546379247,rwlav,100.0,rIVR,mumps,1.0e-5,0.11611440513939675,0.005723096294586804,116
1,1,0.6060001850128174,118,LOCALLY_SOLVED,19.533458322178202,rwlav,100.0,rIVR,mumps,1.0e-5,0.11966212825124711,0.006420644815003633,114
1,1,0.6000001430511475,118,LOCALLY_SOLVED,18.344996755814343,rwlav,100.0,rIVR,mumps,1.0e-5,0.16293942448696774,0.007523953091629398,112
1,1,0.6749999523162842,118,LOCALLY_SOLVED,13.966254214165511,rwlav,100.0,rIVR,mumps,1.0e-5,0.1451043993729395,0.007007700599868429,110
1,1,1.059000015258789,118,LOCALLY_SOLVED,11.683165346093785,rwlav,100.0,rIVR,mumps,1.0e-5,0.14357162606101737,0.008407396892149126,108
1,1,0.9320001602172852,118,LOCALLY_SOLVED,11.683153217347275,rwlav,100.0,rIVR,mumps,1.0e-5,0.1435721473820719,0.007407728894345331,106
1,1,1.2950000762939453,118,LOCALLY_SOLVED,10.236193020919586,rwlav,100.0,rIVR,mumps,1.0e-5,0.13915725485623454,0.007523133011477891,104
1,1,0.693000078201294,118,LOCALLY_SOLVED,8.213964937556147,rwlav,100.0,rIVR,mumps,1.0e-5,0.10088119927727113,0.007051306492604624,102
1,1,0.8209998607635498,118,LOCALLY_SOLVED,5.644564779668888,rwlav,100.0,rIVR,mumps,1.0e-5,0.18770705507749996,0.012811141319503264,100
1,1,0.7980000972747803,118,LOCALLY_SOLVED,3.745085510731863,rwlav,100.0,rIVR,mumps,1.0e-5,0.19077152985029233,0.010900060861195656,98
1,1,0.625999927520752,118,LOCALLY_SOLVED,3.5781870665794355,rwlav,100.0,rIVR,mumps,1.0e-5,0.19076960092888684,0.010602381096138295,96
1,1,0.6380000114440918,118,LOCALLY_SOLVED,2.0450496542316374,rwlav,100.0,rIVR,mumps,1.0e-5,0.1907832554036073,0.010832784763550585,94
1,1,0.5910000801086426,118,LOCALLY_SOLVED,1.5978924381941058,rwlav,100.0,rIVR,mumps,1.0e-5,0.1924565690410306,0.016212712545556302,92
1,1,1.3569998741149902,118,LOCALLY_SOLVED,1.5758604254952469,rwlav,100.0,rIVR,mumps,1.0e-5,0.19107529734073503,0.016208234461119644,90
1,1,1.1660001277923584,118,LOCALLY_SOLVED,0.44327640282704367,rwlav,100.0,rIVR,mumps,1.0e-5,0.17485307260122407,0.01150539641382602,88
1,1,1.2869999408721924,118,LOCALLY_SOLVED,0.4432657859128455,rwlav,100.0,rIVR,mumps,1.0e-5,0.1461669804151502,0.01062872420038047,86
1,1,1.071000099182129,118,LOCALLY_SOLVED,0.44325464494156946,rwlav,100.0,rIVR,mumps,1.0e-5,0.14523932426584962,0.010558886195146918,84
1,1,1.066999912261963,118,LOCALLY_SOLVED,0.4432366976394802,rwlav,100.0,rIVR,mumps,1.0e-5,0.14103304342109557,0.010190433377897774,82
1,1,0.5939998626708984,118,LOCALLY_SOLVED,0.0005273898138067161,rwlav,100.0,rIVR,mumps,1.0e-5,0.12477782981327334,0.00928970651934277,80
1,1,0.49199986457824707,118,LOCALLY_SOLVED,0.00023965308747407466,rwlav,100.0,rIVR,mumps,1.0e-5,0.08779172551721537,0.006742018678821703,78
1,1,0.5929999351501465,118,LOCALLY_SOLVED,0.000574613183748597,rwlav,100.0,rIVR,mumps,1.0e-5,0.08750537189574792,0.006502811462607528,76
1,1,0.47300004959106445,118,LOCALLY_SOLVED,0.0005578000730530295,rwlav,100.0,rIVR,mumps,1.0e-5,0.08705945907261037,0.006810841797196591,74
1,1,0.7669999599456787,118,LOCALLY_SOLVED,0.0005350628869930416,rwlav,100.0,rIVR,mumps,1.0e-5,0.08333097004796897,0.006922679687087394,72
1,1,0.7769999504089355,118,LOCALLY_SOLVED,0.0004834683835803518,rwlav,100.0,rIVR,mumps,1.0e-5,0.08748529078806055,0.0065806848198088535,70
1,1,0.5810000896453857,118,LOCALLY_SOLVED,0.00047246410783333067,rwlav,100.0,rIVR,mumps,1.0e-5,0.08712643561175204,0.006570312146282903,68
1,1,0.6459999084472656,118,LOCALLY_SOLVED,93.26411183503231,rwlav,100.0,rIVR,mumps,1.0e-5,0.004091853413461299,0.003295359169655358,166
1,1,0.8310000896453857,118,LOCALLY_SOLVED,90.4492951450343,rwlav,100.0,rIVR,mumps,1.0e-5,0.004102340635071755,0.0032942702144712734,164
1,1,0.8309998512268066,118,LOCALLY_SOLVED,84.50589121529192,rwlav,100.0,rIVR,mumps,1.0e-5,0.0041450911150289205,0.0032944555281564187,162
1,1,0.7660000324249268,118,LOCALLY_SOLVED,84.47387834859194,rwlav,100.0,rIVR,mumps,1.0e-5,0.004138424567269983,0.0032884218844537612,160
1,1,0.7070000171661377,118,LOCALLY_SOLVED,77.1456626567147,rwlav,100.0,rIVR,mumps,1.0e-5,0.004244187624797169,0.0032908692609893045,158
1,1,0.7249999046325684,118,LOCALLY_SOLVED,75.8978698766125,rwlav,100.0,rIVR,mumps,1.0e-5,0.004566541605010022,0.003260785497959632,156
1,1,0.6089999675750732,118,LOCALLY_SOLVED,73.59926643897236,rwlav,100.0,rIVR,mumps,1.0e-5,0.004990773167060425,0.0032791419503951525,154
1,1,0.6570000648498535,118,LOCALLY_SOLVED,72.29122792685223,rwlav,100.0,rIVR,mumps,1.0e-5,0.007190243254437956,0.0032986846496828827,152
1,1,0.6370000839233398,118,LOCALLY_SOLVED,68.41899532576863,rwlav,100.0,rIVR,mumps,1.0e-5,0.00713378647908014,0.0032812246561970794,150
1,1,0.6340000629425049,118,LOCALLY_SOLVED,65.030511594139,rwlav,100.0,rIVR,mumps,1.0e-5,0.012912863887081905,0.003292175352600997,148
1,1,0.5989999771118164,118,LOCALLY_SOLVED,62.55210298303306,rwlav,100.0,rIVR,mumps,1.0e-5,0.010635801065248973,0.0032848173545241177,146
1,1,0.6359999179840088,118,LOCALLY_SOLVED,58.91395548299735,rwlav,100.0,rIVR,mumps,1.0e-5,0.007413885085680194,0.0033018662047633414,144
1,1,0.5850000381469727,118,LOCALLY_SOLVED,57.69562138669297,rwlav,100.0,rIVR,mumps,1.0e-5,0.012636518629990823,0.0033356299789694868,142
1,1,0.554999828338623,118,LOCALLY_SOLVED,54.694229101687945,rwlav,100.0,rIVR,mumps,1.0e-5,0.01003068823040798,0.0033453160760578194,140
1,1,0.5580000877380371,118,LOCALLY_SOLVED,50.22431902565599,rwlav,100.0,rIVR,mumps,1.0e-5,0.041538003709098215,0.003948775550123904,138
1,1,0.5250000953674316,118,LOCALLY_SOLVED,48.79790327601858,rwlav,100.0,rIVR,mumps,1.0e-5,0.046007488864654444,0.00399176148213508,136
1,1,0.7849998474121094,118,LOCALLY_SOLVED,46.110551267770134,rwlav,100.0,rIVR,mumps,1.0e-5,0.05374692425502281,0.004006504005137668,134
1,1,0.8350000381469727,118,LOCALLY_SOLVED,42.613309013804376,rwlav,100.0,rIVR,mumps,1.0e-5,0.05424514797585123,0.004211358420792028,132
1,1,0.5400002002716064,118,LOCALLY_SOLVED,40.143486471953054,rwlav,100.0,rIVR,mumps,1.0e-5,0.05604488539764785,0.004247602571083421,130
1,1,0.5490000247955322,118,LOCALLY_SOLVED,39.0784883859703,rwlav,100.0,rIVR,mumps,1.0e-5,0.056341090751046874,0.004223653389587599,128
1,1,0.564000129699707,118,LOCALLY_SOLVED,36.87428363120468,rwlav,100.0,rIVR,mumps,1.0e-5,0.06179040140498504,0.0042186622039579085,126
1,1,0.5699999332427979,118,LOCALLY_SOLVED,33.804457428910176,rwlav,100.0,rIVR,mumps,1.0e-5,0.06446658120881965,0.004194835219444115,124
1,1,0.6140000820159912,118,LOCALLY_SOLVED,31.889561417235488,rwlav,100.0,rIVR,mumps,1.0e-5,0.05954874946486366,0.004249024846437513,122
1,1,0.6089999675750732,118,LOCALLY_SOLVED,29.07262172131685,rwlav,100.0,rIVR,mumps,1.0e-5,0.06313586021265305,0.004351977690346212,120
1,1,0.6399998664855957,118,LOCALLY_SOLVED,23.384835182543668,rwlav,100.0,rIVR,mumps,1.0e-5,0.14772537744088954,0.0052417073763629165,118
1,1,0.8320000171661377,118,LOCALLY_SOLVED,22.65372546379247,rwlav,100.0,rIVR,mumps,1.0e-5,0.11611440513939675,0.005723096294586804,116
1,1,0.6490001678466797,118,LOCALLY_SOLVED,19.533458322178202,rwlav,100.0,rIVR,mumps,1.0e-5,0.11966212825124711,0.006420644815003633,114
1,1,0.7150001525878906,118,LOCALLY_SOLVED,18.344996755814343,rwlav,100.0,rIVR,mumps,1.0e-5,0.16293942448696774,0.007523953091629398,112
