ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
15,3,1.1799049377441406,306,OPTIMAL,279.15366495197077,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,3,0.8757228851318359,306,LOCALLY_SOLVED,262.0434896749581,rwlav,1000.0,rIVR,ma27,1.0e-5
15,4,0.5498011112213135,260,OPTIMAL,234.08064851019654,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,4,0.7509059906005859,260,LOCALLY_SOLVED,216.11508302550573,rwlav,1000.0,rIVR,ma27,1.0e-5
15,5,0.0322871208190918,49,OPTIMAL,74.48922467295165,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,5,0.13347697257995605,49,LOCALLY_SOLVED,45.89459176978249,rwlav,1000.0,rIVR,ma27,1.0e-5
15,6,0.16093206405639648,120,OPTIMAL,143.18360366778276,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,6,0.32421088218688965,120,LOCALLY_SOLVED,112.51011027380265,rwlav,1000.0,rIVR,ma27,1.0e-5
15,7,0.0965111255645752,100,OPTIMAL,129.16873004834002,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,7,0.26201486587524414,100,LOCALLY_SOLVED,91.79724529341655,rwlav,1000.0,rIVR,ma27,1.0e-5
16,1,0.06156587600708008,76,OPTIMAL,121.96105302537484,rwlav,1000.0,rIVR,gurobi,1.0e-5
16,1,0.17746686935424805,76,LOCALLY_SOLVED,75.0292393979529,rwlav,1000.0,rIVR,ma27,1.0e-5
16,2,0.15122079849243164,150,OPTIMAL,179.6840951078661,rwlav,1000.0,rIVR,gurobi,1.0e-5
16,2,0.27498412132263184,150,LOCALLY_SOLVED,119.91179257663828,rwlav,1000.0,rIVR,ma27,1.0e-5
16,3,0.12626290321350098,142,OPTIMAL,123.67838505585257,rwlav,1000.0,rIVR,gurobi,1.0e-5
16,3,0.26409292221069336,142,LOCALLY_SOLVED,112.49495852567003,rwlav,1000.0,rIVR,ma27,1.0e-5
16,4,0.11936092376708984,127,OPTIMAL,117.37183706125295,rwlav,1000.0,rIVR,gurobi,1.0e-5
16,4,0.23852109909057617,127,LOCALLY_SOLVED,97.70736121136476,rwlav,1000.0,rIVR,ma27,1.0e-5
17,1,0.7366960048675537,378,OPTIMAL,309.51278604070575,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,1,0.6737570762634277,378,LOCALLY_SOLVED,289.978377143917,rwlav,1000.0,rIVR,ma27,1.0e-5
17,2,0.006478071212768555,19,OPTIMAL,43.00076992697188,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,2,0.03864908218383789,19,LOCALLY_SOLVED,23.698944240335983,rwlav,1000.0,rIVR,ma27,1.0e-5
17,3,0.17540597915649414,157,OPTIMAL,149.12601890524826,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,3,0.2909688949584961,157,LOCALLY_SOLVED,127.31438017923455,rwlav,1000.0,rIVR,ma27,1.0e-5
17,4,0.25168299674987793,215,OPTIMAL,191.58816084813347,rwlav,1000.0,rIVR,gurobi,1.0e-5
17,4,0.3902740478515625,215,LOCALLY_SOLVED,168.76138676296787,rwlav,1000.0,rIVR,ma27,1.0e-5
