meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,par_1,par_2
39,bus,69,G,vm,"[1, 2, 3]",Normal,"[1.0107314970321113, 1.0167339943887344, 1.0113279058755822]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
40,load,52,G,pd,1,Normal,-5.733580910000001e-6,0.0003333333333333333
41,load,52,G,qd,1,Normal,-2.8157283628818144e-6,0.0003333333333333333
42,bus,103,G,vm,"[1, 2, 3]",Normal,"[1.0071876131470354, 1.0085925243615166, 1.0053234803497557]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
43,load,50,G,pd,2,Normal,-1.2799729460000002e-5,0.0003333333333333333
44,load,50,G,qd,2,Normal,-5.6373835194640915e-6,0.0003333333333333333
45,bus,64,G,vm,"[1, 2, 3]",Normal,"[1.0144331950138639, 1.0188147644792869, 1.008847010765386]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
46,load,26,G,pd,1,Normal,-8.89772946e-6,0.0003333333333333333
47,load,26,G,qd,1,Normal,-4.418984409976564e-6,0.0003333333333333333
48,bus,33,G,vm,"[1, 2, 3]",Normal,"[1.011129536259156, 1.0182978779434817, 1.0120713165952164]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
49,load,10,G,pd,3,Normal,-7.622297100000002e-6,0.0003333333333333333
50,load,10,G,qd,3,Normal,-3.610563464685877e-6,0.0003333333333333333
51,bus,27,G,vm,"[1, 2, 3]",Normal,"[1.0107401300903878, 1.0174825643603689, 1.0120786616794009]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
52,load,24,G,pd,3,Normal,-8.076297100000001e-6,0.0003333333333333333
53,load,24,G,qd,3,Normal,-3.752324919249521e-6,0.0003333333333333333
54,bus,22,G,vm,"[1, 2, 3]",Normal,"[1.010748305677343, 1.0148689993995197, 1.0105492691499545]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
55,load,25,G,pd,3,Normal,-8.03358091e-6,0.0003333333333333333
56,load,25,G,qd,3,Normal,-3.5339031326976304e-6,0.0003333333333333333
57,bus,57,G,vm,"[1, 2, 3]",Normal,"[1.010562590148886, 1.0137641540401616, 1.0094033169533563]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
58,load,23,G,pd,2,Normal,-1.274972946e-5,0.0003333333333333333
59,load,23,G,qd,2,Normal,-5.621771024468096e-6,0.0003333333333333333
60,bus,94,G,vm,"[1, 2, 3]",Normal,"[1.0087632975168639, 1.0123916249060267, 1.0076013837349052]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
61,load,49,G,pd,3,Normal,-9.4822971e-6,0.0003333333333333333
62,load,49,G,qd,3,Normal,-4.191348278536928e-6,0.0003333333333333333
63,bus,63,G,vm,"[1, 2, 3]",Normal,"[1.0107400682268526, 1.0174824775367126, 1.0120891458714758]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
64,load,31,G,pd,1,Normal,-9.592297100000001e-6,0.0003333333333333333
65,load,31,G,qd,1,Normal,-4.22569576752812e-6,0.0003333333333333333
66,bus,113,G,vm,"[1, 2, 3]",Normal,"[1.0115713541204743, 1.017186152918979, 1.0113647144389446]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
67,load,5,G,pd,3,Normal,-1.5617294599999989e-6,0.0003333333333333333
68,load,5,G,qd,3,Normal,-2.1283191441640305e-6,0.0003333333333333333
69,bus,38,G,vm,"[1, 2, 3]",Normal,"[1.0081139237705061, 1.0103870592764324, 1.006803538139239]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
70,load,43,G,pd,2,Normal,-1.0051013280000002e-5,0.0003333333333333333
71,load,43,G,qd,2,Normal,-4.574013508087797e-6,0.0003333333333333333
72,bus,39,G,vm,"[1, 2, 3]",Normal,"[1.0107857008933367, 1.017392547444347, 1.0113107156315913]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
73,load,39,G,pd,1,Normal,-9.5222971e-6,0.0003333333333333333
74,load,39,G,qd,1,Normal,-4.203838274533726e-6,0.0003333333333333333
75,bus,9,G,vm,"[1, 2, 3]",Normal,"[1.00910735934501, 1.011589687695909, 1.0075158122038834]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
